State / UT Region,Department Code,Service Descriptor,Submission Date,Total Recorded Transactions,Reported Latency (Days)
NCT of Delhi,Identity,Ration Subsidies,2025-08-28,3924,0.0
Karnataka,Revenue,Vehicle Registration (Vahan),2025-09-18,10584,28.6
Maharashtra,Transport,Vehicle Registration (Vahan),2025-09-22,3556,0.1
Uttarakhand,General Administration,DigiLocker Pull,2025-07-21,4388,3.5
Uttaranchal,Revenue,Vehicle Registration (Vahan),2025-09-21,4067,9.5
Delhi,PDS,Caste Certificate,2025-07-22,5737,13.6
Puducherry,Identity,Caste Certificate,2025-10-29,4044,2.1
Maharashtra,General Administration,Driving License (Sarathi),2025-10-13,8500,1.1
Odisha,PDS,Vehicle Registration (Vahan),2025-08-31,5342,8.8
Karnataka,Transport,Caste Certificate,2025-09-02,3353,7.5
Karnataka,General Administration,Driving License (Sarathi),2025-07-17,3512,14.6
Maharashtra,Transport,Driving License (Sarathi),2025-12-08,4752,3.8
Maharashtra,PDS,DigiLocker Pull,2025-08-25,3865,10.6
Karnataka,General Administration,DigiLocker Pull,2025-07-02,9061,2.9
Odisha,PDS,Vehicle Registration (Vahan),2025-12-19,7030,2.5
Karnataka,Transport,Caste Certificate,2025-11-07,2957,6.8
Maharashtra,General Administration,DigiLocker Pull,2025-09-28,4920,7.2
Karnataka,Transport,Vehicle Registration (Vahan),2025-07-01,3244,12.9
Karnataka,General Administration,Ration Subsidies,2025-08-18,7242,9.8
Karnataka,PDS,Vehicle Registration (Vahan),2025-09-05,5328,13.9
Odisha,General Administration,Ration Subsidies,2025-09-12,3380,3.4
Uttarakhand,Transport,Vehicle Registration (Vahan),2025-10-24,5417,3.1
Karnataka,Identity,Vehicle Registration (Vahan),2025-12-22,7182,1.3
Karnataka,General Administration,Driving License (Sarathi),2025-10-05,3843,2.5
Delhi,General Administration,Driving License (Sarathi),2025-09-27,4974,5.3
Delhi,Identity,DigiLocker Pull,2025-07-21,6590,8.4
Uttarakhand,PDS,Vehicle Registration (Vahan),2025-09-06,2872,0.4
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-08-25,8745,1.6
Karnataka,Identity,Vehicle Registration (Vahan),2025-11-21,5642,1.6
Maharashtra,PDS,Vehicle Registration (Vahan),2025-11-16,4401,6.6
Karnataka,General Administration,Caste Certificate,2025-07-19,4069,4.2
Odisha,PDS,Caste Certificate,2025-10-31,3475,16.1
NCT of Delhi,PDS,Ration Subsidies,2025-07-20,7065,2.3
Odisha,Revenue,Driving License (Sarathi),2025-07-21,4062,2.5
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-11-25,4608,8.4
Puducherry,PDS,Ration Subsidies,2025-07-15,5606,7.3
Maharashtra,PDS,Vehicle Registration (Vahan),2025-12-08,3692,2.1
Uttarakhand,PDS,Driving License (Sarathi),2025-10-20,6587,8.3
Delhi,General Administration,Vehicle Registration (Vahan),2025-07-28,3161,1.3
Uttarakhand,Identity,Driving License (Sarathi),2025-11-07,5210,5.2
Maharashtra,PDS,Ration Subsidies,2025-12-22,5266,2.9
Maharashtra,Identity,Driving License (Sarathi),2025-12-25,4173,12.9
Karnataka,Revenue,Ration Subsidies,2025-07-30,4875,3.3
Maharashtra,Identity,Ration Subsidies,2025-10-01,4019,12.8
Maharashtra,General Administration,Caste Certificate,2025-09-29,4962,0.3
Odisha,Identity,Caste Certificate,2025-07-24,5857,1.2
Delhi,PDS,Vehicle Registration (Vahan),2025-09-13,6842,0.4
Uttarakhand,Transport,Ration Subsidies,2025-10-13,4611,14.0
Puducherry,Identity,Driving License (Sarathi),2025-12-10,5517,1.5
Delhi,Transport,Caste Certificate,2025-12-09,3366,1.6
Maharashtra,Identity,Driving License (Sarathi),2025-09-08,4960,0.0
Odisha,Revenue,Vehicle Registration (Vahan),2025-12-09,7688,0.7
Delhi,Identity,DigiLocker Pull,2025-11-08,3970,4.3
Maharashtra,Revenue,Caste Certificate,2025-09-03,5448,24.2
Karnataka,Revenue,Driving License (Sarathi),2025-09-02,2407,14.8
Odisha,PDS,Ration Subsidies,2025-10-10,4343,5.1
Uttarakhand,Transport,DigiLocker Pull,2025-12-22,6794,1.1
Delhi,Revenue,Driving License (Sarathi),2025-11-12,4722,10.6
Karnataka,PDS,Vehicle Registration (Vahan),2025-11-04,7125,10.4
Delhi,Revenue,DigiLocker Pull,2025-09-18,4200,2.0
Maharashtra,Transport,Ration Subsidies,2025-09-10,7165,1.0
Karnataka,General Administration,Driving License (Sarathi),2025-07-21,6395,10.1
Delhi,PDS,DigiLocker Pull,2025-09-19,3715,0.5
Delhi,General Administration,Ration Subsidies,2025-08-30,6083,1.4
Odisha,Transport,DigiLocker Pull,2025-12-23,3407,1.9
Maharashtra,Identity,Vehicle Registration (Vahan),2025-09-25,5364,2.0
Odisha,PDS,Driving License (Sarathi),2025-11-19,2321,5.6
Maharashtra,Identity,Ration Subsidies,2025-08-01,4787,8.1
Odisha,PDS,Caste Certificate,2025-10-24,5621,5.6
Delhi,Transport,Caste Certificate,2025-09-09,3879,1.2
Puducherry,General Administration,Driving License (Sarathi),2025-09-21,5035,5.5
Uttarakhand,Identity,DigiLocker Pull,2025-10-16,6364,1.4
Delhi,Identity,Vehicle Registration (Vahan),2025-08-19,6732,3.8
Karnataka,Revenue,DigiLocker Pull,2025-11-04,4845,16.0
Karnataka,PDS,DigiLocker Pull,2025-07-15,7163,1.5
Delhi,Transport,Ration Subsidies,2025-12-15,4165,0.6
Maharashtra,PDS,Caste Certificate,2025-07-26,4403,11.1
Puducherry,General Administration,Vehicle Registration (Vahan),2025-10-28,5694,0.8
Karnataka,Identity,Driving License (Sarathi),2025-09-25,6592,15.6
Karnataka,Revenue,Vehicle Registration (Vahan),2025-10-28,5399,3.4
Maharashtra,Revenue,Ration Subsidies,2025-07-16,6526,19.2
Karnataka,General Administration,Caste Certificate,2025-07-04,9060,1.7
Maharashtra,Transport,Ration Subsidies,2025-09-22,6266,0.6
Karnataka,Transport,Ration Subsidies,2025-07-07,5850,2.7
Karnataka,General Administration,Caste Certificate,2025-10-03,2862,5.4
Odisha,Identity,Caste Certificate,2025-07-07,5690,13.2
Karnataka,Identity,Driving License (Sarathi),2025-09-26,4999,10.2
Karnataka,PDS,Vehicle Registration (Vahan),2025-12-05,3800,4.6
Odisha,Identity,DigiLocker Pull,2025-09-15,3387,6.2
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-12-14,7221,12.3
Puducherry,Identity,Ration Subsidies,2025-07-01,5356,7.5
Puducherry,Identity,Driving License (Sarathi),2025-10-09,5594,7.2
Uttarakhand,General Administration,DigiLocker Pull,2025-11-15,6982,1.8
Delhi,General Administration,DigiLocker Pull,2025-12-13,7119,
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-07-28,2788,3.1
Delhi,General Administration,DigiLocker Pull,2025-09-30,6536,16.0
Karnataka,Identity,DigiLocker Pull,2025-12-14,5724,10.1
Uttarakhand,Transport,Ration Subsidies,2025-12-27,8184,8.6
Uttaranchal,General Administration,Ration Subsidies,2025-11-19,5197,1.4
Karnataka,Identity,Vehicle Registration (Vahan),2025-07-05,2233,2.0
Odisha,Transport,Vehicle Registration (Vahan),2025-10-14,4546,10.1
Orissa,Identity,Driving License (Sarathi),2025-12-08,3242,6.6
Puducherry,Identity,Ration Subsidies,2025-08-04,5336,4.1
Uttarakhand,Transport,Driving License (Sarathi),2025-08-12,2954,6.6
Maharashtra,PDS,Vehicle Registration (Vahan),2025-12-15,3900,9.1
Maharashtra,Transport,DigiLocker Pull,2025-12-27,4471,4.1
Maharashtra,Transport,Driving License (Sarathi),2025-10-19,6235,8.3
Karnataka,Transport,Driving License (Sarathi),2025-11-27,3509,1.6
Delhi,PDS,DigiLocker Pull,2025-09-18,2840,1.7
Maharashtra,Transport,Vehicle Registration (Vahan),2025-11-15,5002,6.2
Karnataka,Transport,Vehicle Registration (Vahan),2025-09-06,3864,7.3
Delhi,Revenue,Caste Certificate,2025-09-26,4707,23.0
Puducherry,Identity,Vehicle Registration (Vahan),2025-12-04,7008,12.1
Delhi,Revenue,DigiLocker Pull,2025-12-06,4401,5.4
Maharashtra,Revenue,Driving License (Sarathi),2025-11-13,6631,0.8
Maharashtra,Identity,Vehicle Registration (Vahan),2025-12-11,2181,9.7
Maharashtra,Transport,Caste Certificate,2025-07-15,4152,3.9
Delhi,Revenue,DigiLocker Pull,2025-08-09,4993,0.9
Maharashtra,Revenue,DigiLocker Pull,2025-08-03,5119,5.2
Odisha,Revenue,Vehicle Registration (Vahan),2025-07-26,6067,9.0
Maharashtra,Transport,Ration Subsidies,2025-08-11,2892,9.3
Delhi,Transport,DigiLocker Pull,2025-12-11,6447,13.5
Orissa,General Administration,Caste Certificate,2025-11-30,6418,1.7
Puducherry,General Administration,Caste Certificate,2025-11-14,5159,5.2
Maharashtra,Transport,DigiLocker Pull,2025-08-01,8094,4.3
Delhi,PDS,DigiLocker Pull,2025-08-29,3731,4.7
Karnataka,Transport,Ration Subsidies,2025-11-29,6831,8.6
Delhi,PDS,Vehicle Registration (Vahan),2025-08-17,4581,0.3
Delhi,General Administration,Driving License (Sarathi),2025-12-24,5372,21.2
Orissa,Revenue,Caste Certificate,2025-10-01,5123,1.4
Karnataka,Identity,DigiLocker Pull,2025-11-13,4939,3.9
Karnataka,PDS,Caste Certificate,2025-11-30,4689,24.0
Odisha,Transport,Driving License (Sarathi),2025-12-29,3818,12.1
Odisha,Identity,DigiLocker Pull,2025-07-02,6777,2.3
Maharashtra,Identity,Ration Subsidies,2025-08-20,3825,1.6
Karnataka,Identity,Driving License (Sarathi),2025-08-08,4038,1.5
Uttarakhand,Identity,DigiLocker Pull,2025-09-24,5591,22.1
Maharashtra,PDS,DigiLocker Pull,2025-09-03,3617,17.2
Karnataka,Transport,Ration Subsidies,2025-08-02,4625,3.4
Karnataka,Transport,Driving License (Sarathi),2025-11-01,4988,9.1
Karnataka,Transport,Driving License (Sarathi),2025-12-08,2757,1.2
Maharashtra,General Administration,Driving License (Sarathi),2025-08-21,5765,4.9
Orissa,General Administration,Driving License (Sarathi),2025-11-04,6573,0.1
Karnataka,PDS,Vehicle Registration (Vahan),2025-11-04,4833,2.3
Karnataka,Identity,Vehicle Registration (Vahan),2025-10-01,6461,7.4
Delhi,PDS,Vehicle Registration (Vahan),2025-07-15,2944,4.9
Maharashtra,Transport,Vehicle Registration (Vahan),2025-08-31,2661,2.2
Maharashtra,PDS,Ration Subsidies,2025-11-17,4136,9.8
Delhi,Revenue,Caste Certificate,2025-11-05,3019,11.9
Delhi,Transport,Caste Certificate,2025-09-11,3579,0.7
Delhi,Revenue,Caste Certificate,2025-09-30,4546,0.1
Maharashtra,General Administration,DigiLocker Pull,2025-12-04,8225,16.3
Maharashtra,Revenue,Caste Certificate,2025-12-03,8695,10.6
Maharashtra,Identity,Ration Subsidies,2025-11-17,4161,8.8
Odisha,Revenue,Driving License (Sarathi),2025-08-04,5517,2.2
Odisha,Revenue,Ration Subsidies,2025-12-10,3098,33.7
Odisha,General Administration,Ration Subsidies,2025-07-23,3927,13.4
Delhi,PDS,DigiLocker Pull,2025-07-24,4695,1.7
Maharashtra,PDS,Vehicle Registration (Vahan),2025-08-23,4882,1.2
Karnataka,Revenue,Driving License (Sarathi),2025-11-30,5490,3.4
Uttarakhand,Identity,DigiLocker Pull,2025-10-18,6207,16.3
Odisha,Transport,Vehicle Registration (Vahan),2025-09-13,8519,11.3
Maharashtra,Transport,Ration Subsidies,2025-10-13,4628,
Maharashtra,Revenue,Caste Certificate,2025-09-13,2958,12.5
Karnataka,Identity,Vehicle Registration (Vahan),2025-09-28,3720,2.6
Delhi,Transport,Driving License (Sarathi),2025-08-31,8468,16.8
Karnataka,General Administration,Caste Certificate,2025-10-09,5358,1.0
Karnataka,Identity,Vehicle Registration (Vahan),2025-11-13,5328,1.8
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-09-03,6684,5.6
Puducherry,Transport,Ration Subsidies,2025-07-21,2759,8.1
Puducherry,PDS,Vehicle Registration (Vahan),2025-08-16,6501,0.2
Karnataka,Transport,DigiLocker Pull,2025-09-22,7381,3.9
Puducherry,General Administration,Ration Subsidies,2025-12-15,5395,3.3
Delhi,Revenue,Vehicle Registration (Vahan),2025-07-26,5112,21.0
Odisha,General Administration,Driving License (Sarathi),2025-10-27,5201,14.9
Maharashtra,Transport,Ration Subsidies,2025-07-03,3033,4.0
Puducherry,Identity,Driving License (Sarathi),2025-07-01,3073,3.0
Karnataka,PDS,Caste Certificate,2025-10-28,7177,8.1
NCT of Delhi,PDS,Caste Certificate,2025-11-20,3021,2.1
Karnataka,Transport,Vehicle Registration (Vahan),2025-07-20,8780,4.1
Odisha,Revenue,Caste Certificate,2025-11-12,4820,1.6
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-10-24,5575,0.5
Delhi,PDS,Vehicle Registration (Vahan),2025-11-29,6746,3.6
Odisha,Transport,Driving License (Sarathi),2025-07-10,2722,10.0
Delhi,PDS,Ration Subsidies,2025-07-26,4179,6.2
Karnataka,Revenue,Ration Subsidies,2025-12-02,5464,2.9
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-10-12,5548,1.7
Odisha,PDS,DigiLocker Pull,2025-09-07,10350,9.0
Maharashtra,Transport,DigiLocker Pull,2025-12-04,5362,7.7
Karnataka,PDS,Driving License (Sarathi),2025-10-01,6346,0.7
Puducherry,Revenue,Vehicle Registration (Vahan),2025-12-29,3882,10.6
Uttaranchal,Transport,Caste Certificate,2025-07-17,6495,15.9
Odisha,Identity,Driving License (Sarathi),2025-10-01,4256,9.4
Delhi,PDS,Caste Certificate,2025-10-06,3040,3.0
Delhi,PDS,DigiLocker Pull,2025-08-02,6740,1.4
Maharashtra,General Administration,Ration Subsidies,2025-08-24,5981,9.3
Karnataka,Revenue,Ration Subsidies,2025-09-23,6788,3.0
Delhi,Revenue,Driving License (Sarathi),2025-10-19,6180,20.8
Puducherry,Transport,Vehicle Registration (Vahan),2025-09-12,4848,0.2
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-10-28,4577,22.5
Maharashtra,Transport,Vehicle Registration (Vahan),2025-09-07,4866,7.7
Karnataka,PDS,Caste Certificate,2025-07-20,4448,1.5
Maharashtra,PDS,Ration Subsidies,2025-08-31,4402,2.8
Karnataka,PDS,Ration Subsidies,2025-08-13,4006,10.9
Uttarakhand,General Administration,Caste Certificate,2025-12-10,8068,0.8
Delhi,General Administration,Driving License (Sarathi),2025-10-13,5968,45.9
Karnataka,General Administration,Driving License (Sarathi),2025-10-03,7456,
Odisha,Identity,Vehicle Registration (Vahan),2025-08-09,5521,15.2
Maharashtra,Identity,DigiLocker Pull,2025-10-23,5340,1.5
Karnataka,PDS,Driving License (Sarathi),2025-12-24,2908,3.8
Odisha,PDS,Ration Subsidies,2025-07-02,6040,5.7
Odisha,Identity,Caste Certificate,2025-12-09,5748,8.4
Odisha,Transport,Driving License (Sarathi),2025-11-03,3325,17.6
Maharashtra,Identity,Caste Certificate,2025-11-10,4879,6.0
Karnataka,Identity,Vehicle Registration (Vahan),2025-08-28,7179,5.9
Puducherry,PDS,Vehicle Registration (Vahan),2025-10-11,7698,0.3
Delhi,Identity,Vehicle Registration (Vahan),2025-11-04,2100,5.5
Orissa,Identity,Ration Subsidies,2025-10-13,4171,1.8
Maharashtra,PDS,Caste Certificate,2025-07-22,4626,9.1
Orissa,General Administration,Driving License (Sarathi),2025-08-12,3540,12.3
Odisha,PDS,Driving License (Sarathi),2025-07-08,5286,12.1
Maharashtra,Transport,Ration Subsidies,2025-11-01,4615,0.9
Uttaranchal,Identity,Ration Subsidies,2025-08-06,5144,1.4
Uttarakhand,Revenue,Caste Certificate,2025-09-02,6101,4.5
Odisha,Identity,Ration Subsidies,2025-12-16,4828,5.0
Orissa,General Administration,Caste Certificate,2025-08-27,3728,4.0
Maharashtra,Transport,Caste Certificate,2025-09-08,6097,9.6
Maharashtra,Transport,Driving License (Sarathi),2025-10-31,5609,0.0
,Transport,Caste Certificate,2025-08-26,5271,0.7
Maharashtra,PDS,DigiLocker Pull,2025-12-16,2720,2.5
Odisha,PDS,DigiLocker Pull,2025-11-02,4568,0.5
Delhi,Transport,DigiLocker Pull,2025-07-06,5266,14.0
Puducherry,Revenue,DigiLocker Pull,2025-08-16,9673,5.7
Maharashtra,PDS,Ration Subsidies,2025-09-16,4279,5.4
Uttarakhand,Transport,Driving License (Sarathi),2025-11-13,3611,20.0
Maharashtra,General Administration,Ration Subsidies,2025-08-02,5381,39.6
Karnataka,Transport,Vehicle Registration (Vahan),2025-07-26,4331,6.1
Delhi,PDS,Vehicle Registration (Vahan),2025-07-15,4616,4.6
Karnataka,PDS,Vehicle Registration (Vahan),2025-08-17,5857,22.4
Uttarakhand,General Administration,Ration Subsidies,2025-08-30,3881,0.7
Odisha,Transport,Vehicle Registration (Vahan),2025-12-25,3423,0.3
Delhi,PDS,Caste Certificate,2025-07-17,4376,0.5
Maharashtra,Identity,DigiLocker Pull,2025-10-16,4017,31.2
Maharashtra,General Administration,Driving License (Sarathi),2025-10-05,2464,0.1
Karnataka,General Administration,Vehicle Registration (Vahan),2025-08-08,3827,5.3
Karnataka,General Administration,Ration Subsidies,2025-09-04,5178,4.7
Karnataka,General Administration,DigiLocker Pull,2025-11-15,3379,7.5
Maharashtra,Revenue,DigiLocker Pull,2025-09-01,9089,10.9
Karnataka,General Administration,Vehicle Registration (Vahan),2025-10-16,5781,1.8
Odisha,PDS,Caste Certificate,2025-08-16,5464,1.8
Delhi,Transport,Ration Subsidies,2025-11-14,5889,7.7
Maharashtra,PDS,Driving License (Sarathi),2025-09-22,3990,11.2
Maharashtra,PDS,DigiLocker Pull,2025-10-26,2369,3.3
Uttarakhand,General Administration,DigiLocker Pull,2025-12-09,5855,0.3
Karnataka,PDS,Ration Subsidies,2025-10-15,5119,4.7
Maharashtra,Transport,DigiLocker Pull,2025-12-22,4859,1.0
Delhi,Identity,Vehicle Registration (Vahan),2025-07-28,10603,0.6
Maharashtra,Revenue,Caste Certificate,2025-09-08,3246,2.4
Odisha,Identity,Driving License (Sarathi),2025-10-31,5229,3.0
Karnataka,PDS,Driving License (Sarathi),2025-12-29,2090,0.2
Odisha,Revenue,DigiLocker Pull,2025-12-04,4889,2.9
Orissa,Identity,Driving License (Sarathi),2025-08-08,2955,2.6
Karnataka,General Administration,Ration Subsidies,2025-07-17,6818,0.5
Odisha,General Administration,Driving License (Sarathi),2025-10-05,3992,9.0
Karnataka,Transport,DigiLocker Pull,2025-09-15,4475,10.5
Karnataka,Identity,DigiLocker Pull,2025-10-03,4328,0.0
Uttarakhand,PDS,Driving License (Sarathi),2025-07-01,7564,0.2
Odisha,Revenue,Driving License (Sarathi),2025-10-26,4892,9.3
Odisha,General Administration,Driving License (Sarathi),2025-11-14,4103,4.0
Karnataka,Identity,Ration Subsidies,2025-07-03,8159,5.8
Delhi,Transport,Driving License (Sarathi),2025-11-09,2211,1.9
Uttaranchal,PDS,Vehicle Registration (Vahan),2025-12-11,5423,2.4
Delhi,Transport,Caste Certificate,2025-12-22,6840,1.8
Karnataka,General Administration,Driving License (Sarathi),2025-11-13,5426,19.2
Odisha,General Administration,Ration Subsidies,2025-11-24,8594,8.7
Maharashtra,Revenue,Caste Certificate,2025-12-25,4581,4.3
Uttaranchal,Transport,DigiLocker Pull,2025-08-19,4691,4.3
Karnataka,Identity,Ration Subsidies,2025-08-14,5383,3.1
Karnataka,Identity,DigiLocker Pull,2025-09-27,3449,0.5
Delhi,Revenue,Caste Certificate,2025-10-11,3424,4.9
Puducherry,PDS,Ration Subsidies,2025-10-04,5234,0.1
Karnataka,PDS,Caste Certificate,2025-10-26,3467,8.0
Odisha,General Administration,Ration Subsidies,2025-09-16,6550,4.4
Odisha,Transport,DigiLocker Pull,2025-09-01,5485,1.0
Odisha,Transport,Ration Subsidies,2025-08-05,5831,5.1
Odisha,Identity,Caste Certificate,2025-08-01,6233,9.8
Puducherry,Revenue,Driving License (Sarathi),2025-08-06,7967,0.8
Maharashtra,General Administration,Driving License (Sarathi),2025-11-15,6022,5.0
Delhi,PDS,Driving License (Sarathi),2025-07-15,4863,1.9
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-12-06,6221,
Maharashtra,Transport,Vehicle Registration (Vahan),2025-12-26,5472,5.3
Delhi,General Administration,Ration Subsidies,2025-10-06,8663,4.2
Odisha,General Administration,DigiLocker Pull,2025-12-09,5233,33.1
Odisha,Transport,DigiLocker Pull,2025-08-16,4478,2.0
Karnataka,Transport,Ration Subsidies,2025-10-01,4843,0.5
Maharashtra,Transport,Caste Certificate,2025-11-29,3320,17.5
Puducherry,Transport,Caste Certificate,2025-12-31,3708,7.8
Maharashtra,General Administration,DigiLocker Pull,2025-07-03,6054,14.2
Maharashtra,Revenue,Driving License (Sarathi),2025-09-14,3341,3.9
Puducherry,General Administration,DigiLocker Pull,2025-09-12,4779,0.3
Maharashtra,Revenue,Driving License (Sarathi),2025-11-28,3743,16.4
Uttaranchal,PDS,Ration Subsidies,2025-07-13,4515,17.4
Maharashtra,General Administration,Driving License (Sarathi),2025-11-05,4107,1.9
Karnataka,Identity,DigiLocker Pull,2025-08-09,6333,0.6
Maharashtra,General Administration,Ration Subsidies,2025-11-07,5705,4.1
Karnataka,Revenue,Driving License (Sarathi),2025-11-23,3669,5.8
Maharashtra,Identity,Ration Subsidies,2025-12-22,3927,4.1
Maharashtra,Identity,Vehicle Registration (Vahan),2025-09-23,2739,9.8
Uttarakhand,PDS,Vehicle Registration (Vahan),2025-11-12,6064,16.7
Maharashtra,Revenue,DigiLocker Pull,2025-11-01,4745,4.1
Delhi,General Administration,Ration Subsidies,2025-08-06,7181,1.0
Karnataka,Transport,Ration Subsidies,2025-11-11,3820,0.0
Puducherry,Revenue,Caste Certificate,2025-08-02,4103,3.6
Karnataka,Revenue,DigiLocker Pull,2025-12-01,4841,5.5
NCT of Delhi,Revenue,Ration Subsidies,2025-09-27,5853,3.4
Puducherry,Transport,Vehicle Registration (Vahan),2025-07-31,2810,0.4
Maharashtra,General Administration,Caste Certificate,2025-08-30,7077,2.4
Puducherry,Identity,DigiLocker Pull,2025-07-24,6014,6.9
Delhi,PDS,Driving License (Sarathi),2025-12-21,2619,2.2
Puducherry,PDS,Ration Subsidies,2025-09-23,7493,0.5
Odisha,General Administration,Driving License (Sarathi),2025-09-04,4041,0.6
Karnataka,Transport,Driving License (Sarathi),2025-11-28,2731,2.3
Karnataka,General Administration,Driving License (Sarathi),2025-08-26,6635,18.1
Karnataka,PDS,DigiLocker Pull,2025-11-20,4086,15.2
Uttarakhand,Identity,Vehicle Registration (Vahan),2025-10-27,5144,0.2
Maharashtra,Revenue,Ration Subsidies,2025-08-10,3401,2.2
Odisha,PDS,DigiLocker Pull,2025-10-22,4692,6.5
Maharashtra,Transport,Driving License (Sarathi),2025-07-07,1863,16.6
Karnataka,PDS,Vehicle Registration (Vahan),2025-08-15,6714,0.8
Karnataka,PDS,DigiLocker Pull,2025-11-07,3005,20.2
Delhi,Transport,Driving License (Sarathi),2025-11-20,6335,35.4
Delhi,PDS,Driving License (Sarathi),2025-09-27,4951,7.7
Maharashtra,PDS,Ration Subsidies,2025-11-16,10176,3.9
Delhi,Identity,Driving License (Sarathi),2025-09-26,6221,10.5
Uttarakhand,Identity,Vehicle Registration (Vahan),2025-07-16,4941,7.4
Odisha,Revenue,DigiLocker Pull,2025-11-02,5028,4.7
Puducherry,PDS,Ration Subsidies,2025-09-06,5845,28.3
Puducherry,Transport,Caste Certificate,2025-10-25,5362,6.7
Odisha,General Administration,DigiLocker Pull,2025-10-10,2802,1.4
Maharashtra,PDS,DigiLocker Pull,2025-09-26,6359,1.3
Karnataka,Transport,Ration Subsidies,2025-10-25,5716,1.6
Maharashtra,Identity,Driving License (Sarathi),2025-12-25,3600,0.2
Karnataka,Identity,Ration Subsidies,2025-08-06,3330,11.9
Maharashtra,Revenue,Caste Certificate,2025-09-27,3734,7.8
Delhi,Revenue,DigiLocker Pull,2025-07-07,2367,2.9
Odisha,Revenue,Driving License (Sarathi),2025-08-28,4130,3.0
Delhi,Revenue,Ration Subsidies,2025-09-28,8542,2.3
Karnataka,Identity,DigiLocker Pull,2025-09-16,5188,40.1
Delhi,Identity,Driving License (Sarathi),2025-09-26,4426,
Uttarakhand,Identity,Ration Subsidies,2025-09-19,6383,1.1
Maharashtra,Identity,Driving License (Sarathi),2025-10-01,2900,11.4
Odisha,PDS,Caste Certificate,2025-11-04,4562,4.8
Uttarakhand,General Administration,Driving License (Sarathi),2025-12-20,5413,7.2
Delhi,PDS,Caste Certificate,2025-07-09,7663,0.3
Delhi,Transport,DigiLocker Pull,2025-07-22,7317,7.4
Puducherry,Transport,Driving License (Sarathi),2025-12-03,6098,3.9
Maharashtra,Transport,DigiLocker Pull,2025-10-15,6865,7.4
Delhi,Transport,DigiLocker Pull,2025-10-22,7020,3.8
Maharashtra,PDS,Vehicle Registration (Vahan),2025-12-27,3638,3.2
Uttarakhand,Identity,Ration Subsidies,2025-08-07,2846,1.9
Karnataka,General Administration,Driving License (Sarathi),2025-12-20,3457,9.2
Odisha,Transport,Ration Subsidies,2025-07-21,5823,0.5
Uttaranchal,Transport,Ration Subsidies,2025-09-20,4168,7.8
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-09-07,8293,4.0
Puducherry,Identity,DigiLocker Pull,2025-07-24,3544,20.6
Delhi,Revenue,Ration Subsidies,2025-08-17,5891,0.6
Maharashtra,Transport,Vehicle Registration (Vahan),2025-10-31,4420,2.1
Delhi,Transport,Ration Subsidies,2025-09-28,5345,2.0
Maharashtra,Transport,Driving License (Sarathi),2025-11-17,3421,1.2
Delhi,Transport,Ration Subsidies,2025-10-19,5631,5.9
NCT of Delhi,General Administration,Vehicle Registration (Vahan),2025-11-12,4128,25.2
Delhi,PDS,DigiLocker Pull,2025-10-03,7658,1.4
Delhi,PDS,Caste Certificate,2025-12-10,4105,8.5
Puducherry,General Administration,Vehicle Registration (Vahan),2025-12-30,4471,4.0
Odisha,Identity,Vehicle Registration (Vahan),2025-09-14,7588,5.0
Maharashtra,Transport,Vehicle Registration (Vahan),2025-09-29,5947,0.9
Karnataka,Transport,Vehicle Registration (Vahan),2025-12-25,4266,5.9
Maharashtra,Transport,Ration Subsidies,2025-10-20,4126,0.3
Karnataka,Transport,Ration Subsidies,2025-07-02,4563,10.2
Karnataka,PDS,Driving License (Sarathi),2025-09-28,7218,4.6
Puducherry,Identity,Ration Subsidies,2025-09-11,5065,8.5
Karnataka,PDS,Caste Certificate,2025-12-03,7648,16.1
Uttarakhand,Transport,Driving License (Sarathi),2025-11-23,4917,5.0
Maharashtra,Transport,Driving License (Sarathi),2025-12-11,7879,6.8
Karnataka,PDS,Vehicle Registration (Vahan),2025-10-25,6117,5.5
Maharashtra,PDS,Ration Subsidies,2025-08-09,3921,2.1
Delhi,PDS,DigiLocker Pull,2025-12-11,5849,0.3
NCT of Delhi,Revenue,DigiLocker Pull,2025-09-29,3015,4.1
Maharashtra,PDS,Vehicle Registration (Vahan),2025-08-01,4781,7.6
Maharashtra,General Administration,Driving License (Sarathi),2025-09-16,4420,2.8
Maharashtra,General Administration,Driving License (Sarathi),2025-08-25,6151,5.4
Delhi,Transport,Vehicle Registration (Vahan),2025-09-20,4225,4.6
Maharashtra,PDS,Ration Subsidies,2025-12-12,3808,4.5
Puducherry,Revenue,DigiLocker Pull,2025-08-03,5701,0.5
Maharashtra,Identity,Driving License (Sarathi),2025-09-16,6194,2.2
Delhi,Transport,Driving License (Sarathi),2025-12-12,4432,0.0
Maharashtra,Identity,Ration Subsidies,2025-07-10,5374,2.2
Uttaranchal,Revenue,Caste Certificate,2025-12-07,3503,3.5
